question,outcome,token_id,price,percentage
Will Elon tweet less than 100 times April 11–18?,Yes,38086917376661271303400373517121315552440608305190324336862735377292244726779,,
Will Elon tweet less than 100 times April 11–18?,No,99452616369996101152177953461987491032435863963587804713678009597703906312271,,
Will Elon tweet 100–124 times April 11–18?,Yes,20019995819827149561994301560369937275924252818548765455094468255753191514947,,
Will Elon tweet 100–124 times April 11–18?,No,112122194593786256704466772550224324175581438655824083750963950218463006357884,,
Will Elon tweet 125–149 times April 11–18?,Yes,48170813129103914691585718340175196394022330176959850970396976486196602194916,0.0155,1.55
Will Elon tweet 125–149 times April 11–18?,No,31785104814985143600749606205335973477558637362629128855498345363548931733781,0.9845,98.45
Will Elon tweet 150–174 times April 11–18?,Yes,88470658142605082988344441311671539891221623532373045736072779869068579927137,0.267,26.700000000000003
Will Elon tweet 150–174 times April 11–18?,No,110633768677320021127580793156153248423698912319401488111221810906606267673644,0.733,73.3
Will Elon tweet 175–199 times April 11–18?,Yes,62472657058181542653976756644640129396712701446558237023012283006159610989560,0.455,45.5
Will Elon tweet 175–199 times April 11–18?,No,35144321434070934134935832941997082504245535455210194615412918003233815869394,0.545,54.50000000000001
Will Elon tweet 200–224 times April 11–18?,Yes,36516624702615491853409771828964743634628107551145742241390424763167490803821,0.21,21.0
Will Elon tweet 200–224 times April 11–18?,No,39059417501763672334827439009773652104250166037963526545876049569231593303933,0.79,79.0
Will Elon tweet 225–249 times April 11–18?,Yes,115555709214818817854776890148721563881197392554171769977286924192895069803370,0.045,4.5
Will Elon tweet 225–249 times April 11–18?,No,77796073146142168365944754931156482060281889986796734823067630322493765355488,0.955,95.5
Will Elon tweet 250–274 times April 11–18?,Yes,6322711529799222582506711521773427249776751622085840799856329567480248326932,0.0125,1.25
Will Elon tweet 250–274 times April 11–18?,No,4884448405158808465676287874602767994275062711907345147135077238197183386888,0.9875,98.75
Will Elon tweet 275–299 times April 11–18?,Yes,20970450658688684003980541827315466127719636655927134203479705991174211270783,0.0035,0.35000000000000003
Will Elon tweet 275–299 times April 11–18?,No,86982067778871419276093071421792649301706664730121950897746854707562243447255,0.9965,99.65
Will Elon tweet 300–324 times April 11–18?,Yes,11684415730904555143196658577685566010931118621467813944176097580034672746591,0.003,0.3
Will Elon tweet 300–324 times April 11–18?,No,51471404560130673288238763910645337353662313047371280798515707016728130455623,0.997,99.7
Will Elon tweet 325–349 times April 11–18?,Yes,48915667988507469768966258765341380084840387837779654969210311664587452398994,0.0025,0.25
Will Elon tweet 325–349 times April 11–18?,No,160029610383742638567954214180184756715326092208529123985324134591409004744,0.9975,99.75
Will Elon tweet 350–374 times April 11–18?,Yes,26877007388293894644563426688931455993290104543478403890796344142663839569037,0.0015,0.15
Will Elon tweet 350–374 times April 11–18?,No,63427050980826505848474918719138262394785763726665646904115876312461094071272,0.9985,99.85000000000001
Will Elon tweet 375–399 times April 11–18?,Yes,114729824141041402829409536719215253608040537681545558553949595639390815209590,0.0015,0.15
Will Elon tweet 375–399 times April 11–18?,No,54801429803234296098062926952478641403603141222318252494838016020059773685080,0.9985,99.85000000000001
Will Elon tweet 400 or more times April 11–18?,Yes,30298517922538650428934163059265440710434057927088667406826011424834178527568,0.001,0.1
Will Elon tweet 400 or more times April 11–18?,No,103235486414734868494079785239099188039070803898702957244893746680282608796893,0.999,99.9
