question,outcome,token_id,price,percentage
Will Elon tweet less than 100 times April 18–25?,Yes,88203520855300580858445492746903462185134147224588340072394724551573728513647,0.005,0.5
Will Elon tweet less than 100 times April 18–25?,No,28537042110980336341115057189743028708839039743779001760895746761457894858933,0.995,99.5
Will Elon tweet 100–124 times April 18–25?,Yes,62127882564573659696078211379206514569863900554253147022969635995443789126179,0.0205,2.0500000000000003
Will Elon tweet 100–124 times April 18–25?,No,6730368083906766659240317666771740826724658263455923428499137875339944023204,0.9795,97.95
Will Elon tweet 125–149 times April 18–25?,Yes,92476515899658308959111759111791800373171814398465314347944492304929625134971,0.14,14.000000000000002
Will Elon tweet 125–149 times April 18–25?,No,78373387145351811546208716681176312444844984078620388335000951168053553295379,0.86,86.0
Will Elon tweet 150–174 times April 18–25?,Yes,13738275729078395391032172148963575377178239624342009624637743655822045318804,0.245,24.5
Will Elon tweet 150–174 times April 18–25?,No,57723100231407551963449466317731208715973728646711946712524702741419669614027,0.755,75.5
Will Elon tweet 175–199 times April 18–25?,Yes,107871739806269372395186414936026856955685818463277352509929462200661093224664,0.27,27.0
Will Elon tweet 175–199 times April 18–25?,No,106724009653438882896611420840855223207079251944037961115509380128685743419745,0.73,73.0
Will Elon tweet 200–224 times April 18–25?,Yes,101612787914601226842547320298797984630624133989402913790466041939579789653377,0.21,21.0
Will Elon tweet 200–224 times April 18–25?,No,49884287711238174914340823360789777790720639597844900384539056825758450566451,0.79,79.0
Will Elon tweet 225–249 times April 18–25?,Yes,35253264398255996259398334298649019289757768039981290055339641177696213005086,0.075,7.5
Will Elon tweet 225–249 times April 18–25?,No,96235806490057314228516718880593257660319752273156867559020816294541055496422,0.925,92.5
Will Elon tweet 250–274 times April 18–25?,Yes,5291859870995676898550952195262578260562345505830381421422463766959739681677,0.0265,2.65
Will Elon tweet 250–274 times April 18–25?,No,40688437092594155416930911640687245447208988569736354229107525393911013969737,0.9735,97.35000000000001
Will Elon tweet 275–299 times April 18–25?,Yes,112350302778436648339257954556361775597996575533394294704194321738412469398752,0.016,1.6
Will Elon tweet 275–299 times April 18–25?,No,106620365344045026014369882398662579440864345763108489222321337666048212796448,0.984,98.4
Will Elon tweet 300–324 times April 18–25?,Yes,76074174639120456802828916377983682757333365719660750614769466086938652685913,0.009,0.8999999999999999
Will Elon tweet 300–324 times April 18–25?,No,13874888053515661939275597712672230132415120458248006233421311001627804500097,0.991,99.1
Will Elon tweet 325–349 times April 18–25?,Yes,15026687476655102786268332286373773467781328897993582444755456532844023308726,0.0045,0.44999999999999996
Will Elon tweet 325–349 times April 18–25?,No,36552310692197775861239415171882800011798449772219257131526360757063346088772,0.9955,99.55000000000001
Will Elon tweet 350–374 times April 18–25?,Yes,101288539197905904639576829770501121252993560974202566895519152002176216516772,0.0035,0.35000000000000003
Will Elon tweet 350–374 times April 18–25?,No,110978156327427990479444819522382383563685299501986077615349669266791886115972,0.9965,99.65
Will Elon tweet 375–399 times April 18–25?,Yes,25123459062202680842489278613325097592461465626684385848507168713099985036106,0.0015,0.15
Will Elon tweet 375–399 times April 18–25?,No,55393939521212910397366800066596064950327653337350441557160919732849856228914,0.9985,99.85000000000001
Will Elon tweet 400 or more times April 18–25?,Yes,66727959200312955871599770658983674694191430422289004085577082996582274004576,0.007,0.7000000000000001
Will Elon tweet 400 or more times April 18–25?,No,112206900949638196430394959737309609925173918314405109305096917910109840598874,0.993,99.3
